username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity
leaschoenberger,0,-0.060997136891611396,-0.09793467372448336,0.11993502034365157,-0.5101744304681157,-0.3128464477470439
kvfbot,1,-0.4376447501198752,-0.13888805485251138,-0.3190960947148794,-0.5101744304681157,-0.7510917735677616
esoastronomy,0,-0.43862791215190694,0.04145162693156905,7.050354765196175,-0.8601092592295142,-0.7543084095067437
cheryanne,0,-0.04478196125227375,-0.13695067908418557,-0.17797895058892302,-0.3352070160874166,-0.5511808466242561
sjar,0,0.03659295819988967,-0.1362728664751369,-0.2511508030986782,-0.5101744304681157,-0.4916113119909576
Geobomatic,0,0.6208351701005836,-0.13787902622859177,-0.08912741539850602,-0.8601092592295142,-0.6540588654986284
villebooks,0,-0.1591718180089173,-0.1391396754109784,-0.1257133416533836,-0.8601092592295142,0.038300356339969595
ryansmoviereviews,0,0.11222945647123231,-0.04462369841898411,-0.2511508030986782,-0.5101744304681157,-1.6521418087766402
pomarede,0,-0.4244700075819091,-0.1107396522864018,0.03631004604678851,-0.8601092592295142,-0.6444830797243085
scientific_american,1,-0.32158518689084475,-0.12417517075377899,-0.13093990254693755,-0.8601092592295142,-1.025621985798751
theguardian_science,1,-0.444562207530877,-0.12080336053949878,-0.23547112041801632,0.01472781267398182,-0.8829803100427427
cbcnf_mirror,1,-0.418822831117847,-0.1292355751738525,-0.3190960947148794,-0.8601092592295142,-0.7989304767578528
wrstscrnnm6,0,1.459864056235433,-0.003016999814663371,-0.21979143773735457,0.01472781267398182,-0.13096972780591243
cpponsea,0,-0.444562207530877,-0.09460898368208517,-0.3034164120342176,-0.8601092592295142,-1.470456282576483
Kingu,0,-0.2968427982760175,-0.12435030828784772,-0.1622992679082612,-0.8601092592295142,-1.0603134325535024
DanielTaylor,0,0.11621300658767023,-0.0852395074614156,-0.21979143773735457,-0.8601092592295142,-0.028365885258635076
EarthOrgUK,0,-0.1785434944621756,-0.1381891022005848,-0.2981898511406636,-0.5101744304681157,-1.0169247758178432
kingcloggy.eurosky.social,0,-0.1371196559307963,-0.13036105433633383,-0.3086429729277715,-0.5101744304681157,-0.23605977464654218
CuratedIvanAivazovsky,1,-0.3942534263599547,-0.12030909685860719,-0.3138695338213255,-0.16023960170671733,-2.199699558431906
identity,0,3.3212341196291355,0.00028052162647009004,-0.3086429729277715,1.5894345421002745,0.12405762409848944
zofe,0,-0.444562207530877,-0.12639444926012847,0.11993502034365157,-0.16023960170671733,-0.6674189031934634
chiefxpressdog.net,0,-0.444562207530877,-0.04827229942137297,-0.04208836735652059,-0.8601092592295142,-0.8117671433655324
nyt_business,1,-0.07563114561078019,-0.12995790434674476,-0.14661958522759938,-0.5101744304681157,-0.7660962362112715
joerghaefner,0,0.8282499560934571,-0.1282405997794947,0.8150676191863255,-0.5101744304681157,-0.48826420078650334
railpage,0,-0.4262030788571281,-0.13803236710046596,-0.1884320723760309,-0.685141844848815,-0.44385034759026193
Wesearchpress,0,-0.444562207530877,-0.14110400542621668,-0.26683048577934,0.7145974701967787,-0.42452730587542636
WhisprNews,0,-0.3726925201438452,-0.14112553855674323,-0.2825101684600018,1.239499713338876,-0.7717576853034102
Bella,0,-0.40327416824344653,-0.07890352930818054,0.010177241579018807,-0.8601092592295142,-0.1368747489189007
Clara_Pirx,0,-0.24614928276653225,-0.14211417449421263,-0.2929632902471097,-0.8601092592295142,-0.707258325708159
ymbot,0,-0.444562207530877,-0.13470146478613568,-0.2145648768438006,-0.3352070160874166,-1.1948551426465681
tugatech,1,-0.39977569257220474,-0.1423874508167547,-0.3190960947148794,-0.8601092592295142,-1.3498663050547364
xbohiti,0,-0.22320357037881888,0.7544466785410168,-0.2825101684600018,-0.16023960170671733,-0.33672341223425184
awemans,0,0.09880908475361345,-0.1015105420632293,-0.17797895058892302,-0.8601092592295142,-1.1515298495192277
pascal_le_merrer,0,0.027243862040016043,-0.12231110758916408,-0.3086429729277715,-0.3352070160874166,0.7761603248831898
wisdom,1,-0.444562207530877,-0.12820109755927248,-0.23547112041801632,-0.16023960170671733,-0.4675712525769698
boycott,0,0.39660061364694377,0.3077622407537588,-0.08912741539850602,-0.8601092592295142,-1.0720711474210245
bitsofpluto,1,-0.444562207530877,-0.13184314887583268,-0.2406976813115703,-0.3352070160874166,-2.2173732046088976
Darlings,0,0.07809013018926016,-0.08290160663653266,0.14606782481142128,-0.16023960170671733,-0.15118274852247582
sentinel0079,0,-0.025775596702658957,-0.1315757299959016,-0.14661958522759938,0.5396300558160795,-0.27872287582990646
TauC,0,1.1653187899386366,-0.09765559933249858,-0.15707270701470727,-0.685141844848815,-0.05204208719668396
MisterB,0,-0.14108665659660383,-0.09740791790418744,0.051989728727450314,-0.685141844848815,-0.4318135942378352
