username,is_bot_declared,follow_ratio,avg_time_diff_minutes,engagement_rate,night_post_ratio,lexical_diversity,hybrid_cluster,detection_source,outlier_reason,kmeans_cluster,dbscan_cluster,iso_outlier
Mr.Android123,0,-0.0614090537407631,-0.2175156743593866,-0.2902967660191743,-0.6495275422797733,0.7501139662939433,0,,,0.0,1.0,1.0
thomashansen.bsky.social,0,0.0282963439208877,-0.21495677339959,-0.4488004888864454,-0.6495275422797733,0.6935496545203782,0,,,0.0,1.0,1.0
GertrudeZane,0,0.0192521686279119,-0.2196303334042124,-0.240764352623152,-0.3173711624818193,2.2019313018154567,0,,,0.0,1.0,1.0
trudy__decamperfloggers,0,-0.4816080217348123,-0.0864173085829163,-0.3002032486983788,-0.6495275422797733,1.856260507643668,0,,,0.0,1.0,1.0
heiseonline,0,-0.4808710586387303,-0.2214265674160331,0.3833440561667279,-0.6495275422797733,-0.2087506773565101,0,,,0.0,1.0,1.0
mbt3d,0,-0.3797997050725912,-0.2018633437307925,-0.0426346990390632,-0.6495275422797733,0.9369430067900092,0,,,0.0,1.0,1.0
j11h11.bsky.social,0,0.1227230783015728,-0.221765984891611,-0.4488004888864454,-0.6495275422797733,2.074813654926476,0,,,0.0,1.0,1.0
jack,0,0.5063128849397122,0.3378587096107391,-0.260577317981561,2.0077234961038584,0.5155747171642999,0,,,0.0,1.0,1.0
bbc_news,1,-0.3966239607921956,-0.2191046008036782,-0.2902967660191743,-0.6495275422797733,-0.5410638728128717,-1,rule,API Declared Bot,,,
Libertariobr,0,-0.4816080217348123,-0.2203109112773678,-0.4686134542448543,3.3363490152956743,-0.814046377333401,-1,iso,Statistical Outlier (Isolation Forest),0.0,0.0,-1.0
Lazarou,0,0.3716873786432321,-0.2230876835799155,-0.240764352623152,-0.6495275422797733,1.0147632802028428,0,,,0.0,1.0,1.0
psvensson,0,0.2969267001458343,-0.2144495482164189,-0.4785199369240587,1.0112543567099963,1.683425110557773,0,,,0.0,1.0,1.0
variety_feed,1,-0.4798298024997444,-0.2209464638051602,-0.4884264196032632,-0.6495275422797733,-0.0287643987032095,-1,rule,API Declared Bot,,,
giangiskitchen,0,-0.4786414252880255,-0.1962224758775164,1.3343663933703545,-0.3173711624818193,-1.247466381415415,0,,,0.0,1.0,1.0
godaily,1,0.1982644658061211,-0.0462833139193558,-0.485124258710195,-0.6495275422797733,0.4512759893970421,-1,rule,API Declared Bot,,,
malefeetporn,0,-0.4816080217348123,-0.1985586844131366,-0.438894006207241,-0.6495275422797733,-1.5996509575899536,-1,rule,Extreme Repetitive Content,,,
EyeForFilm,0,-0.1372570215517422,-0.1793154851212677,-0.3794551101320143,-0.6495275422797733,-0.4415243696857678,0,,,0.0,1.0,1.0
Sirablopp,0,0.2532541522984024,-0.2043468457401825,-0.3794551101320143,-0.6495275422797733,1.2112141149480975,0,,,0.0,1.0,1.0
theblazetrends,0,-0.4816080217348123,-0.2203290063643964,-0.4091745581696276,-0.3173711624818193,0.5113850740690516,0,,,0.0,1.0,1.0
ClydeAidoo,0,-0.4816080217348123,-0.0982072751656701,0.096056058469799,-0.6495275422797733,1.1649189193000895,0,,,0.0,1.0,1.0
goodnewsrobot,1,-0.3439548267265245,-0.2026682027953217,-0.260577317981561,-0.3173711624818193,-1.2817821706971029,-1,rule,API Declared Bot | Bot in Username,,,
cbcedmonton_mirror,1,-0.4484435101474496,-0.2134979287982421,-0.4983329022824676,0.0147852173161346,-0.1760136108441139,-1,rule,API Declared Bot,,,
rayotron,0,0.2680612611050002,-0.1837400774956895,0.0564301277529811,0.6790979769120425,0.8819053566584217,0,,,0.0,1.0,1.0
aurisc4,0,0.097006861278748,-0.0970996038717154,-0.3002032486983788,-0.3173711624818193,0.4273375183593074,0,,,0.0,1.0,1.0
animalofthings.com,0,-0.4816080217348123,-0.2192662123607307,-0.4983329022824676,2.339879875901812,-1.0338289644812786,0,,,0.0,1.0,1.0
martin_av_photo,0,0.0165744044805267,0.2380093471983763,-0.1615124911895165,-0.6495275422797733,-1.7634626381438707,-1,rule,Extreme Repetitive Content,,,
deadline,1,-0.47950748881759,-0.2198954262425899,-0.4884264196032632,0.0147852173161346,0.3045584883804014,-1,rule,API Declared Bot,,,
Starcade,0,0.4514084771245537,-0.1920514963612402,-0.2902967660191743,-0.6495275422797733,-0.242067215242075,0,,,0.0,1.0,1.0
SingingLehrerin,0,-0.2622402979223436,0.3945176499608773,-0.438894006207241,-0.3173711624818193,1.3452688988679795,0,,,0.0,1.0,1.0
Sk8r_Grrl,0,-0.4816080217348123,-0.2053394392477534,-0.1317930431519031,-0.3173711624818193,0.9237532489476792,0,,,0.0,1.0,1.0
jpmellojr,0,1.84564780100146,0.1366798148466564,-0.438894006207241,-0.6495275422797733,0.2740626443875606,0,,,0.0,1.0,1.0
life,0,-0.4816080217348123,-0.2227746758851126,-0.4686134542448543,-0.6495275422797733,0.950207104418054,0,,,0.0,1.0,1.0
